name,unit,date,value,desc,doc
C.01,20,11/01/2017,101.3,Food and non-alcoholic beverages,
C.01,20,12/01/2017,101.3,Food and non-alcoholic beverages,
C.01,20,01/01/2018,101.1,Food and non-alcoholic beverages,
C.01,20,02/01/2018,101.0,Food and non-alcoholic beverages,
C.01,20,03/01/2018,100.9,Food and non-alcoholic beverages,
C.01,20,04/01/2018,100.6,Food and non-alcoholic beverages,
C.01,20,05/01/2018,100.6,Food and non-alcoholic beverages,
C.01,20,06/01/2018,101.0,Food and non-alcoholic beverages,
C.01,20,07/01/2018,101.8,Food and non-alcoholic beverages,
C.01,20,08/01/2018,103.1,Food and non-alcoholic beverages,
C.01,20,09/01/2018,104.0,Food and non-alcoholic beverages,
C.02,20,01/01/2013,83.1,"Alcohol beverages, tobacco and narcotics",
C.02,20,02/01/2013,83.9,"Alcohol beverages, tobacco and narcotics",
C.02,20,03/01/2013,84.0,"Alcohol beverages, tobacco and narcotics",
C.02,20,04/01/2013,83.7,"Alcohol beverages, tobacco and narcotics",
C.02,20,05/01/2013,84.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,06/01/2013,84.9,"Alcohol beverages, tobacco and narcotics",
C.02,20,07/01/2013,85.1,"Alcohol beverages, tobacco and narcotics",
C.02,20,08/01/2013,85.0,"Alcohol beverages, tobacco and narcotics",
C.02,20,09/01/2013,84.7,"Alcohol beverages, tobacco and narcotics",
C.02,20,10/01/2013,84.8,"Alcohol beverages, tobacco and narcotics",
C.02,20,11/01/2013,84.8,"Alcohol beverages, tobacco and narcotics",
C.02,20,12/01/2013,85.7,"Alcohol beverages, tobacco and narcotics",
C.02,20,01/01/2014,86.2,"Alcohol beverages, tobacco and narcotics",
C.02,20,02/01/2014,86.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,03/01/2014,89.5,"Alcohol beverages, tobacco and narcotics",
C.02,20,04/01/2014,90.7,"Alcohol beverages, tobacco and narcotics",
C.02,20,05/01/2014,91.0,"Alcohol beverages, tobacco and narcotics",
C.02,20,06/01/2014,91.0,"Alcohol beverages, tobacco and narcotics",
C.02,20,07/01/2014,91.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,08/01/2014,91.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,09/01/2014,91.5,"Alcohol beverages, tobacco and narcotics",
C.02,20,10/01/2014,90.7,"Alcohol beverages, tobacco and narcotics",
C.02,20,11/01/2014,91.1,"Alcohol beverages, tobacco and narcotics",
C.02,20,12/01/2014,91.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,01/01/2015,91.6,"Alcohol beverages, tobacco and narcotics",
C.02,20,02/01/2015,91.3,"Alcohol beverages, tobacco and narcotics",
C.02,20,03/01/2015,93.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,04/01/2015,94.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,05/01/2015,94.4,"Alcohol beverages, tobacco and narcotics",
C.02,20,06/01/2015,94.2,"Alcohol beverages, tobacco and narcotics",
C.02,20,07/01/2015,94.3,"Alcohol beverages, tobacco and narcotics",
C.02,20,08/01/2015,94.1,"Alcohol beverages, tobacco and narcotics",
C.02,20,09/01/2015,92.2,"Alcohol beverages, tobacco and narcotics",
C.02,20,10/01/2015,94.2,"Alcohol beverages, tobacco and narcotics",
