name,unit,date,value,desc,doc
NO.NY.GDP.PCAP.KD.ZG,20,2023-01-01,-1.06055299614016,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2022-01-01,2.32282354360895,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2021-01-01,3.35449506555356,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2020-01-01,-1.85769609648001,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2019-01-01,0.44339856309783,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2018-01-01,0.165560788690883,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2017-01-01,1.63950712591077,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2016-01-01,0.277407788765373,GDP per capita growth (annual %)
NO.NY.GDP.PCAP.KD.ZG,20,2015-01-01,0.848799114123295,GDP per capita growth (annual %)
NO.FP.CPI.TOTL,20,2024-01-01,145.109039905891,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2023-01-01,140.684100986336,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2022-01-01,133.327300696769,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2021-01-01,126.06098995566,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2020-01-01,121.81703013302,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2019-01-01,120.269658854402,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2018-01-01,117.717853587911,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2017-01-01,114.55071939191,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2016-01-01,112.442312912859,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL,20,2015-01-01,108.587458148584,Consumer price index (2010 = 100)
NO.FP.CPI.TOTL.ZG,20,2024-01-01,3.14530134431081,"Inflation, consumer prices (annual %)"
NO.FP.CPI.TOTL.ZG,20,2023-01-01,5.51784987104659,"Inflation, consumer prices (annual %)"
NO.FP.CPI.TOTL.ZG,20,2022-01-01,5.76412317852272,"Inflation, consumer prices (annual %)"
NO.FP.CPI.TOTL.ZG,20,2021-01-01,3.48388055266669,"Inflation, consumer prices (annual %)"
NO.FP.CPI.TOTL.ZG,20,2020-01-01,1.28658490707996,"Inflation, consumer prices (annual %)"
NO.FP.CPI.TOTL.ZG,20,2019-01-01,2.16773003305411,"Inflation, consumer prices (annual %)"
NO.FP.CPI.TOTL.ZG,20,2018-01-01,2.76483134528797,"Inflation, consumer prices (annual %)"
